name,rating,reviews,company_type,Head_Quarters,Company_Age,No_of_Employee
Tata Projects,4.2,(3.6k Reviews),Public,"Mumbai,Maharashtra + 216 more",44 years old,10k-50k Employees (India)
JLL,4.2,(3.6k Reviews),Private,"Mumbai,Maharashtra + 62 more",26 years old,5k-10k Employees (India)
First Source,3.9,(3.5k Reviews),Public,"Mumbai,Maharashtra + 47 more",22 years old,10k-50k Employees (India)
Nokia,4.3,(3.5k Reviews),Private,"Espoo,Southern Finland + 171 more",158 years old,10k-50k Employees (India)
Hewlett-Packard ...,4.3,(3.5k Reviews),Private,"Houston,Texas + 87 more",8 years old,10k-50k Employees (India)
Hero MotoCorp,4.2,(3.5k Reviews),Public,"Gurgaon/Gurugram,Haryana + 283 more",39 years old,5k-10k Employees (India)
JustDial,3.6,(3.4k Reviews),Public,"Mumbai,Maharashtra + 146 more",27 years old,10k-50k Employees (India)
Bajaj Allianz Li...,4.1,(3.4k Reviews),Private,Pune + 465 more,22 years old,10k-50k Employees (India)
Cyient,3.7,(3.3k Reviews),Public,"Hyderabad/Secunderabad,Telangana + 26 more",32 years old,10k-50k Employees (India)
Omega Healthcare,3.8,(3.3k Reviews),Private,Florida + 33 more,19 years old,5k-10k Employees (India)
Fidelity Nationa...,4.0,(3.3k Reviews),Private,"Jacksonville,Florida + 30 more",55 years old,5k-10k Employees (India)
Megha Engineerin...,4.1,(3.3k Reviews),Private,"Hyderabad/Secunderabad,Telangana + 241 more",34 years old,1k-5k Employees (India)
Reliance Communi...,4.0,(3.2k Reviews),Public,"Navi Mumbai,Maharashtra + 392 more",21 years old,10k-50k Employees (India)
L&T Construction,4.0,(3.2k Reviews),Public,Chennai + 281 more,79 years old,10k-50k Employees (India)
Hyundai Motor,4.3,(3.2k Reviews),Private,Seoul + 241 more,56 years old,10k-50k Employees (India)
TVS Motor,4.0,(3.2k Reviews),Public,"Chennai,Tamil Nadu + 249 more",44 years old,10k-50k Employees (India)
D Mart,3.9,(3.2k Reviews),Private,"Mumbai,Maharashtra + 190 more",4 years old,10k-50k Employees (India)
Oyo Rooms,3.5,(3.1k Reviews),Private,"Gurgaon,Haryana + 108 more",10 years old,1k-5k Employees (India)
Bosch,4.3,(3.1k Reviews),Public,"Gerlingen,Baden-Wuerttemberg + 88 more",137 years old,10k-50k Employees (India)
BigBasket,4.1,(3.1k Reviews),Private,"Bangalore,Karnataka + 94 more",12 years old,10k-50k Employees (India)
Intelenet Global...,3.7,(3.1k Reviews),Private,"Mumbai,Maharashtra + 56 more",23 years old,10k-50k Employees (India)
Future Group,4.3,(3.1k Reviews),Private,"Mumbai,Maharashtra + 194 more",10 years old,10k-50k Employees (India)
Indiamart Interm...,3.7,(3k Reviews),Private,"Noida,Uttar Pradesh + 119 more",27 years old,10k-50k Employees (India)
Atos Syntel,3.7,(3k Reviews),Private,"Troy,Michigan + 14 more",43 years old,10k-50k Employees (India)
Manappuram Finan...,4.0,(3k Reviews),Public,"Thrissur/Trichur,Kerala + 438 more",74 years old,10k-50k Employees (India)
SBI Cards & Paym...,3.7,(3k Reviews),Government,"Gurgaon/Gurugram,Haryana + 291 more",25 years old,1k-5k Employees (India)
BNY Mellon,4.1,(3k Reviews),Private,"New York City,New York + 11 more",19 years old,5k-10k Employees (India)
Wipro BPS,3.8,(3k Reviews),Bengaluru + 35 more,23 years old,1 Lakh+ Employees (India),
Cummins,4.4,(3k Reviews),"Columbus,Indiana + 89 more",61 years old,10k-50k Employees (India),
Bosch Global Sof...,4.2,(2.9k Reviews),Private,Gerlingen + 22 more,33 years old,10k-50k Employees (India)
IQVIA,4.1,(2.9k Reviews),Partnership,Durham + 37 more,41 years old,10k-50k Employees (India)
Fullerton India,4.1,(2.9k Reviews),Private,Mumbai + 431 more,16 years old,10k-50k Employees (India)
UST,3.8,(2.9k Reviews),Private,"Aliso Viejo,California + 31 more",22 years old,10k-50k Employees (India)
Amdocs,4.0,(2.9k Reviews),Private,"Chesterfield,Missouri + 12 more",41 years old,10k-50k Employees (India)
Samsung,4.1,(2.9k Reviews),Public,Seoul + 386 more,85 years old,5k-10k Employees (India)
Schneider Electr...,4.1,(2.9k Reviews),Private,Paris + 96 more,24 years old,10k-50k Employees (India)
CBRE,4.2,(2.9k Reviews),Private,"Los Angeles,California + 61 more",117 years old,5k-10k Employees (India)
Capgemini Techno...,4.0,(2.9k Reviews),Bengaluru/Bangalore + 27 more,,,
Nagarro,4.4,(2.9k Reviews),Private,"Munich,Bavaria + 32 more",27 years old,10k-50k Employees (India)
ICICI Lombard Ge...,3.8,(2.8k Reviews),Public,"Mumbai,Maharashtra + 223 more",22 years old,5k-10k Employees (India)
GlobalLogic,3.8,(2.8k Reviews),Private,"San Jose,California + 24 more",23 years old,1k-5k Employees (India)
Virtusa Consulti...,3.8,(2.8k Reviews),Private,"Southborough,Massachusetts + 24 more",27 years old,10k-50k Employees (India)
JBM Group,4.0,(2.8k Reviews),Public,"Gurgaon/Gurugram,Haryana + 74 more",40 years old,10k-50k Employees (India)
Dell,4.2,(2.8k Reviews),Private,"Round Rock,Texas + 81 more",39 years old,10k-50k Employees (India)
Ecom Express,4.1,(2.8k Reviews),Private,"Gurgaon,Haryana + 551 more",11 years old,10k-50k Employees (India)
Viatris,4.3,(2.7k Reviews),"Canonsburg,Pennsylvania + 63 more",62 years old,10k-50k Employees (India),
State Bank of In...,3.8,(2.7k Reviews),"Mumbai,Maharashtra + 419 more",217 years old,1 Lakh+ Employees (India),
Bajaj Auto,3.9,(2.7k Reviews),Public,"Pune,Maharashtra + 218 more",78 years old,5k-10k Employees (India)
Equitas Small Fi...,4.1,(2.7k Reviews),Private,"Chennai,Tamil Nadu + 319 more",16 years old,10k-50k Employees (India)
