name,rating,reviews,company_type,Head_Quarters,Company_Age,No_of_Employee
Oncquest Laborat...,3.9,(151 Reviews),Private,"Delhi/NCR,Delhi + 19 more",23 years old,201-500 Employees (India)
JNET Technologie...,4.3,(151 Reviews),Private,"Hyderabad/Secunderabad,Telangana + 20 more",16 years old,501-1k Employees (India)
RG Stone Urology...,4.3,(151 Reviews),Private,"Delhi/NCR,Delhi + 11 more",37 years old,201-500 Employees (India)
Gangar Eyenation,4.1,(151 Reviews),Private,"Mumbai,Maharashtra + 15 more",46 years old,501-1k Employees (India)
BajajSons,3.8,(151 Reviews),Public,"Ludhiana,Punjab + 6 more",38 years old,1k-5k Employees (India)
CityMall,3.5,(151 Reviews),Private,"Gurgaon,Haryana + 16 more",4 years old,51-200 Employees (India)
LKQ INDIA,4.1,(151 Reviews),Private,"Chicago,Illinois + 1 more",25 years old,501-1k Employees (India)
Balrampur Chini ...,4.0,(150 Reviews),Public,"Kolkata,West Bengal + 9 more",48 years old,1k-5k Employees (India)
Nalco,4.1,(150 Reviews),Private,"Bhubaneswar,Odisha + 10 more",42 years old,5k-10k Employees (India)
GE Capital,4.4,(150 Reviews),Private,Norwalk + 9 more,91 years old,10k-50k Employees (India)
The Institute Of...,4.1,(150 Reviews),New Delhi + 39 more,74 years old,51-200 Employees (India),
Systopic Laborat...,4.7,(150 Reviews),Private,"Delhi/NCR,Delhi + 37 more",41 years old,501-1k Employees (India)
Reliance Petrole...,3.9,(150 Reviews),Public,Ahemdabad + 28 more,15 years old,201-500 Employees (India)
Hill Internation...,4.0,(150 Reviews),Public,"Philadelphia,Pennsylvania + 16 more",47 years old,201-500 Employees (India)
Triveni Turbines,4.0,(150 Reviews),Public,"Bangalore/Bengaluru,Karnataka + 10 more",55 years old,501-1k Employees (India)
Qatargas,4.6,(150 Reviews),Doha + 9 more,39 years old,5k-10k Employees (India),
Kronos Solutions,4.1,(150 Reviews),Private,"Lowell,Massachusetts",46 years old,1k-5k Employees (India)
Marble Box,3.7,(150 Reviews),Private,Chicago + 4 more,21 years old,501-1k Employees (India)
J.M Baxi & Co,3.8,(150 Reviews),Private,"Mumbai,Maharashtra + 20 more",107 years old,1k-5k Employees (India)
NBCC,4.1,(150 Reviews),Private,"Delhi/NCR,Delhi + 25 more",63 years old,1k-5k Employees (India)
Paul Merchants,4.0,(150 Reviews),Public,"Chandigarh,Chandigarh + 51 more",39 years old,1k-5k Employees (India)
Praxis Services,3.3,(150 Reviews),Private,Gurugram + 3 more,12 years old,201-500 Employees (Global)
FarEye,2.8,(150 Reviews),Private,"Noida,Uttar Pradesh + 2 more",10 years old,501-1k Employees (India)
CSM Technologies,4.0,(150 Reviews),Private,"Bhubaneswar,Odisha + 7 more",25 years old,1k-5k Employees (India)
Radnik Exports,4.3,(150 Reviews),Private,"Delhi/NCR,Delhi + 3 more",42 years old,201-500 Employees (India)
Sunil Hitech Eng...,4.0,(150 Reviews),Public,"Hyderabad/Secunderabad,Telangana + 24 more",25 years old,501-1k Employees (India)
Gartner,4.3,(150 Reviews),Public,"Stamford,Connecticut + 10 more",44 years old,1k-5k Employees (India)
Lam Research,3.9,(150 Reviews),Private,"Fremont,California",43 years old,1k-5k Employees (India)
Webtel Electroso...,4.1,(150 Reviews),Private,"Delhi/NCR,Delhi + 10 more",23 years old,201-500 Employees (India)
Escorts Construc...,4.1,(149 Reviews),Public,"Faridabad,Haryana + 22 more",53 years old,1k-5k Employees (India)
Annalect,3.9,(149 Reviews),Private,"New York,New York + 5 more",13 years old,501-1k Employees (India)
IFB Automotive,3.9,(149 Reviews),Private,Bangalore + 10 more,49 years old,501-1k Employees (India)
Vedang Radio Tec...,4.1,(149 Reviews),Private,"Mumbai,Maharashtra + 21 more",18 years old,501-1k Employees (India)
Walsons Facility...,3.9,(149 Reviews),Private,"Gurgaon/Gurugram,Haryana + 23 more",27 years old,5k-10k Employees (India)
Magma Housing Fi...,4.2,(149 Reviews),Public,"Kolkata,West Bengal + 56 more",34 years old,5k-10k Employees (India)
Aditya Birla Mem...,3.6,(149 Reviews),Private,Pune + 3 more,20 years old,1k-5k Employees (Global)
Annalect,3.9,(149 Reviews),Private,"New York,New York + 5 more",13 years old,501-1k Employees (India)
Essae Digitronic...,4.1,(149 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 22 more",27 years old,51-200 Employees (India)
Overnite Express,3.5,(149 Reviews),Private,"Delhi/NCR,Delhi + 33 more",36 years old,1-10 Employees (India)
Jyoti Structures,3.2,(149 Reviews),Public,Mumbai + 25 more,49 years old,11-50 Employees (India)
Alcatel-Lucent,4.4,(149 Reviews),Public,Boulogne Billancourt Cedex + 18 more,31 years old,201-500 Employees (India)
Sunera Technolog...,3.7,(149 Reviews),Private,Troy + 2 more,18 years old,1k-5k Employees (India)
Innoval Digital ...,4.6,(149 Reviews),Private,"Trivandrum/Thiruvananthapuram,Kerala + 2 more",26 years old,201-500 Employees (India)
Med Manor Organi...,3.3,(149 Reviews),Private,"Hyderabad/Secunderabad,Telangana + 26 more",25 years old,51-200 Employees (India)
EASi,3.7,(149 Reviews),Private,"Hanover,Maryland + 7 more",42 years old,501-1k Employees (India)
Inventys Researc...,4.4,(149 Reviews),Private,Mumbai + 2 more,17 years old,51-200 Employees (India)
Hyva,3.4,(149 Reviews),"Mumbai,Maharashtra + 12 more",44 years old,501-1k Employees (India),
Indo Nissin Food...,4.2,(149 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 28 more",65 years old,201-500 Employees (India)
Aditya Birla Mem...,3.6,(149 Reviews),Private,Pune + 3 more,20 years old,1k-5k Employees (Global)
Magma Housing Fi...,4.2,(149 Reviews),Public,"Kolkata,West Bengal + 56 more",34 years old,5k-10k Employees (India)
Walsons Facility...,3.9,(149 Reviews),Private,"Gurgaon/Gurugram,Haryana + 23 more",27 years old,5k-10k Employees (India)
Advanced Micro D...,3.9,(149 Reviews),Private,"Santa Clara,California + 7 more",54 years old,1k-5k Employees (India)
Adroit Synergies,3.6,(149 Reviews),Private,"Noida,Uttar Pradesh + 2 more",8 years old,501-1k Employees (India)
Dayal Fertilizer...,4.3,(149 Reviews),Partnership,Meerut + 28 more,44 years old,201-500 Employees (India)
Bharathi Cement,4.2,(149 Reviews),Private,Hyderabad + 29 more,24 years old,1k-5k Employees (India)
Chiripal Industr...,3.4,(149 Reviews),Public,"Ahmedabad,Gujrat + 4 more",51 years old,1k-5k Employees (India)
Novozymes South ...,4.3,(149 Reviews),Private,Bagsværd + 6 more,23 years old,501-1k Employees (India)
Ambit Finvest,4.1,(149 Reviews),Mumbai + 40 more,51-200 Employees (India),,
Freelancer.com,4.3,(149 Reviews),"Delhi,NCT + 28 more",12 years old,10k-50k Employees (India),
Max Data Entry S...,4.4,(149 Reviews),Kolkata + 17 more,11-50 Employees (India),,
Bonn group,4.0,(149 Reviews),Private,"Ludhiana,Punjab + 13 more",38 years old,1k-5k Employees (India)
Sukhbir Agro Ene...,3.6,(149 Reviews),Private,"Delhi/NCR,Delhi + 18 more",24 years old,501-1k Employees (India)
Duroshox,3.5,(149 Reviews),Private,Pune + 1 more,36 years old,51-200 Employees (India)
Regency Hospital,4.2,(149 Reviews),Private,"Kanpur,Uttar Pradesh + 4 more",28 years old,1k-5k Employees (India)
Avalara Technolo...,4.2,(149 Reviews),Private,"Seattle,Washington + 4 more",19 years old,201-500 Employees (India)
Arun Excello,3.5,(149 Reviews),Private,"Chennai,Tamil Nadu + 9 more",36 years old,501-1k Employees (India)
JSG Group,3.6,(148 Reviews),Private,Kundli + 4 more,13 years old,51-200 Employees (India)
COWI,4.2,(148 Reviews),Private,Lyngby + 3 more,93 years old,501-1k Employees (India)
Terex,3.9,(148 Reviews),Private,"Westport,Connecticut + 15 more",90 years old,501-1k Employees (India)
GlobusSoft,4.5,(148 Reviews),Private,"Bhilai/Bhillai,Chhattisgarh + 3 more",14 years old,51-200 Employees (India)
Sudhir Power,4.1,(148 Reviews),Private,"Gurgaon/Gurugram,Haryana + 24 more",50 years old,1k-5k Employees (India)
Office Beacon,3.5,(148 Reviews),Private,California + 9 more,22 years old,501-1k Employees (India)
APM Terminals,4.6,(148 Reviews),Private,The Hague + 14 more,22 years old,501-1k Employees (India)
Orion Security S...,3.6,(148 Reviews),Private,"Delhi/NCR,Delhi + 30 more",18 years old,51-200 Employees (India)
Home Centre,4.2,(148 Reviews),Dubai + 28 more,28 years old,11-50 Employees (India),
Gawar Constructi...,4.2,(148 Reviews),"Gurgaon/Gurugram,Haryana + 24 more",15 years old,501-1k Employees (India),
Allegis Global S...,3.7,(148 Reviews),Private,Hanover + 9 more,22 years old,501-1k Employees (India)
Bacardi,4.0,(148 Reviews),Private,"Hamilton,Bermuda + 40 more",161 years old,201-500 Employees (India)
Ephicacy Lifesci...,4.6,(148 Reviews),Bengaluru/Bangalore + 4 more,51-200 Employees (India),,
Aditya Infotech,4.0,(148 Reviews),Private,"Noida,Uttar Pradesh + 32 more",29 years old,501-1k Employees (India)
Allergan,3.9,(148 Reviews),Private,Dublin + 22 more,10 years old,1k-5k Employees (India)
Rasna,3.5,(148 Reviews),Private,"Ahmedabad,Gujarat + 30 more",47 years old,201-500 Employees (India)
Oriental Aromati...,3.1,(148 Reviews),Public,"Mumbai,Maharashtra + 5 more",68 years old,501-1k Employees (India)
Everest Spices,4.0,(148 Reviews),Private,"Mumbai,Maharashtra + 30 more",42 years old,1k-5k Employees (India)
Vidya Mandir Cla...,3.9,(148 Reviews),Private,New Delhi + 34 more,34 years old,1-10 Employees (India)
Koye Pharmaceuti...,3.2,(148 Reviews),Private,"Mumbai,Maharashtra + 23 more",10 years old,1k-5k Employees (India)
Teamspace Financ...,4.1,(148 Reviews),Private,"Mumbai,Maharashtra + 51 more",19 years old,201-500 Employees (India)
S G Encon,3.7,(148 Reviews),Private,Panchkula + 27 more,15 years old,10k-50k Employees (India)
Reecomps Teleser...,3.6,(148 Reviews),Private,Allahabad + 30 more,25 years old,1k-5k Employees (Global)
Apollo Medskills,4.1,(148 Reviews),JV,"Hyderabad/Secunderabad,Telangana + 23 more",11 years old,201-500 Employees (India)
Malabar Group Of...,3.9,(148 Reviews),Private,"Calicut/Kozhikode,Kerala + 33 more",30 years old,1k-5k Employees (India)
Shriram Fortune ...,4.0,(148 Reviews),Private,"Chennai,Tamil Nadu + 71 more",49 years old,501-1k Employees (India)
HIVELOOP LOGISTI...,4.2,(148 Reviews),Bengaluru/Bangalore + 52 more,,,
Ugro Capital,3.9,(148 Reviews),Public,Mumbai + 46 more,30 years old,201-500 Employees (India)
Evoke Technologi...,3.9,(147 Reviews),Private,"Dayton,Ohio + 1 more",20 years old,501-1k Employees (India)
Govt. Medical Co...,4.1,(147 Reviews),Private,Patiala + 44 more,1k-5k Employees (India),
NIKE,4.3,(147 Reviews),Public,"Beaverton,Oregon + 31 more",59 years old,501-1k Employees (India)
Saudi Oger,4.4,(147 Reviews),Private,Riyadh + 10 more,45 years old,1-10 Employees (India)
IndiaCan,4.6,(147 Reviews),Private,"Noida,Uttar Pradesh + 39 more",15 years old,201-500 Employees (India)
Four Seasons Hot...,4.1,(147 Reviews),Public,"Toronto,Ontario + 16 more",26 years old,501-1k Employees (India)
Central Tool Roo...,3.9,(147 Reviews),Public,"Bhubaneswar,Odisha + 7 more",47 years old,51-200 Employees (India)
ARCIS e Services,3.6,(147 Reviews),Private,Gurgaon + 6 more,36 years old,201-500 Employees (India)
Enmas O & M Serv...,3.9,(147 Reviews),Private,"Chennai,Tamil Nadu + 19 more",18 years old,1k-5k Employees (India)
IREO,4.1,(147 Reviews),Private,"Gurgaon/Gurugram,Haryana + 7 more",19 years old,501-1k Employees (India)
Smart Chip,3.8,(147 Reviews),Private,Noida + 41 more,27 years old,501-1k Employees (India)
Sajjan India,3.9,(147 Reviews),Public,Mumbai + 7 more,118 years old,51-200 Employees (India)
Kd Logistics,4.1,(147 Reviews),"Mumbai,Maharashtra + 24 more",18 years old,1k-5k Employees (India),
L. V. Prasad Eye...,4.5,(147 Reviews),Private,"Hyderabad/Secunderabad,Telangana + 8 more",36 years old,501-1k Employees (India)
I P Integrated S...,4.5,(147 Reviews),Private,Gurgram + 35 more,12 years old,51-200 Employees (India)
Keller Ground En...,4.1,(147 Reviews),Private,London + 15 more,163 years old,501-1k Employees (India)
Narayana Junior ...,3.9,(147 Reviews),Hyderabad + 24 more,44 years old,10k-50k Employees (India),
Aspire Home Fina...,4.0,(147 Reviews),Private,"Mumbai,Maharashtra + 59 more",10 years old,1k-5k Employees (India)
Atmecs Technolog...,3.4,(147 Reviews),Private,"Santa Clara,California + 3 more",10 years old,501-1k Employees (India)
Andhra Pradesh S...,4.0,(147 Reviews),Other,Vijayawada + 23 more,9 years old,201-500 Employees (India)
Rakon,3.7,(147 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 2 more",56 years old,201-500 Employees (India)
Amrutanjan Healt...,4.1,(147 Reviews),Public,"Chennai,Tamil Nadu + 26 more",130 years old,1k-5k Employees (India)
Oerlikon Grazian...,4.5,(147 Reviews),Private,Pfaffikon + 8 more,117 years old,1k-5k Employees (India)
Amazon Seller Ce...,4.3,(147 Reviews),Hyderabad/Secunderabad + 28 more,10k-50k Employees (India),,
Tata Play Fiber,4.2,(147 Reviews),Mumbai + 24 more,51-200 Employees (India),,
Ebixcash Global ...,3.4,(147 Reviews),Hyderabad/Secunderabad + 14 more,,,
Voylla,3.8,(146 Reviews),Private,"Jaipur,Rajasthan + 36 more",11 years old,201-500 Employees (India)
Balaji Action Bu...,4.0,(146 Reviews),Private,"Delhi/NCR,New Delhi + 12 more",33 years old,1k-5k Employees (India)
AIG Business Sol...,4.6,(146 Reviews),Private,"Gurgaon/Gurugram,Haryana + 3 more",10 years old,51-200 Employees (India)
Xylem Water Solu...,4.0,(146 Reviews),Private,"Rye Brook,New York + 12 more",12 years old,501-1k Employees (India)
ADARSH DEVELOPER...,4.3,(146 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 1 more",35 years old,501-1k Employees (India)
Bharti Foundatio...,4.2,(146 Reviews),Partnership,Gurugram + 27 more,23 years old,1k-5k Employees (India)
Bharti Foundatio...,4.2,(146 Reviews),Partnership,Gurugram + 27 more,23 years old,1k-5k Employees (India)
S&P Capital IQ,4.3,(146 Reviews),Private,"New York,New York + 2 more",25 years old,10k-50k Employees (India)
Sud Life Insuran...,3.9,(146 Reviews),Navi Mumbai + 64 more,14 years old,1k-5k Employees (Global),
Gujarat Co Opera...,4.1,(146 Reviews),Public,Anand + 50 more,77 years old,1k-5k Employees (India)
Dev Information ...,3.8,(146 Reviews),Public,"Ahmedabad,Gujarat + 26 more",26 years old,501-1k Employees (India)
ADARSH DEVELOPER...,4.3,(146 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 1 more",35 years old,501-1k Employees (India)
Government of An...,3.8,(146 Reviews),Public,Velagapudi + 45 more,70 years old,1 Lakh+ Employees (Global)
Voylla,3.8,(146 Reviews),Private,"Jaipur,Rajasthan + 36 more",11 years old,201-500 Employees (India)
AIG Business Sol...,4.6,(146 Reviews),Private,"Gurgaon/Gurugram,Haryana + 3 more",10 years old,51-200 Employees (India)
SNVA Ventures,3.8,(146 Reviews),Private,Waldorf + 2 more,14 years old,201-500 Employees (India)
MUNDRA SOLAR TEC...,4.1,(146 Reviews),Ahmedabad + 9 more,8 years old,201-500 Employees (India),
ABCD,3.7,(146 Reviews),Private,Brooklyn + 30 more,201-500 Employees (India),
KSB Limited - Ir...,3.9,(146 Reviews),Frankenthal + 15 more,1k-5k Employees (India),,
Acko General Ins...,3.6,(146 Reviews),Private,"Mumbai,Maharashtra + 3 more",7 years old,501-1k Employees (India)
Hindustan Foods,3.5,(146 Reviews),Public,"Mumbai,Maharashtra + 17 more",35 years old,1k-5k Employees (India)
Cogenthub,3.4,(146 Reviews),Private,"Kolkata,West Bengal + 1 more",7 years old,51-200 Employees (India)
Ican BPO,4.5,(145 Reviews),Private,Thane + 2 more,14 years old,201-500 Employees (India)
American Express...,4.0,(145 Reviews),Private,"New York,New York + 11 more",7 years old,1k-5k Employees (India)
HCL Infotech,4.0,(145 Reviews),Private,Noida + 21 more,32 years old,1 Lakh+ Employees (Global)
Venus Industrial...,3.9,(145 Reviews),Private,"Faridabad,Haryana + 9 more",51 years old,1-10 Employees (India)
Konexions Back O...,3.1,(145 Reviews),Private,New Delhi + 7 more,16 years old,11-50 Employees (India)
Interarch Buildi...,4.1,(145 Reviews),Private,"Noida,Uttar Pradesh + 18 more",39 years old,1k-5k Employees (India)
Cummins Generato...,4.4,(145 Reviews),Private,Ahmednagar + 15 more,32 years old,5k-10k Employees (India)
CyberSWIFT Infot...,3.9,(145 Reviews),Private,"Worthington,Ohio + 5 more",26 years old,201-500 Employees (India)
Ultra Engineers,4.0,(145 Reviews),Private,"Pune,Maharashtra + 2 more",32 years old,1k-5k Employees (India)
Hughes Systique ...,4.0,(145 Reviews),Private,Rockville + 2 more,18 years old,1k-5k Employees (India)
Century Pulp & P...,4.1,(145 Reviews),Private,"Nainital,Uttarakhand + 11 more",39 years old,201-500 Employees (India)
Shipco Transport,3.8,(145 Reviews),Private,"Hoboken,New Jersery + 3 more",35 years old,201-500 Employees (India)
Técnicas Reunida...,4.2,(145 Reviews),Private,"Madrid,Madrid + 13 more",51 years old,5k-10k Employees (Global)
Rucha Engineers,3.8,(145 Reviews),Ghaziabad + 7 more,16 years old,501-1k Employees (India),
Asian Heart Inst...,3.6,(145 Reviews),Private,"Mumbai,Maharashtra + 3 more",21 years old,201-500 Employees (India)
FICO,4.1,(145 Reviews),Private,"San Jose,California + 4 more",67 years old,1k-5k Employees (India)
VSynergize Outso...,3.9,(145 Reviews),Private,"Boston,MA",22 years old,201-500 Employees (India)
Institute of Lan...,4.3,(145 Reviews),Bengaluru + 6 more,22 years old,501-1k Employees (India),
Lumino Industrie...,3.7,(145 Reviews),Public,"Kolkata,West Bengal + 18 more",34 years old,51-200 Employees (India)
Om Innovation Ca...,3.4,(145 Reviews),Private,"Delhi/NCR,Delhi + 8 more",18 years old,51-200 Employees (India)
A2Z Infraservice...,3.9,(145 Reviews),Public,"Gurgaon/Gurugram,Haryana + 19 more",21 years old,201-500 Employees (India)
Red Bull,4.1,(145 Reviews),Private,Fuschl + 34 more,36 years old,501-1k Employees (India)
Rittal,4.2,(145 Reviews),Private,Herborn + 12 more,28 years old,501-1k Employees (India)
Common Service C...,4.2,(145 Reviews),New Delhi + 66 more,14 years old,201-500 Employees (India),
Radio Mirchi,3.5,(145 Reviews),Mumbai + 39 more,501-1k Employees (India),,
Bajaj allianze g...,4.1,(145 Reviews),JV,Pune + 48 more,22 years old,10k-50k Employees (India)
Fisdom,4.0,(145 Reviews),"Bangalore,Karnataka + 25 more",8 years old,501-1k Employees (India),
Quest Diagnostic...,3.5,(145 Reviews),Private,"Secaucus,New Jersey + 9 more",56 years old,501-1k Employees (India)
Annexmed,3.5,(145 Reviews),Private,"Chennai,Tamil Nadu + 3 more",19 years old,201-500 Employees (India)
Snowman Logistic...,4.3,(144 Reviews),Public,"Bangalore/Bengaluru,Karnataka + 21 more",27 years old,201-500 Employees (India)
Technofab Engine...,4.0,(144 Reviews),Public,"Delhi/NCR,Delhi + 16 more",52 years old,201-500 Employees (India)
Electropneumatic...,3.8,(144 Reviews),Private,"Pune,Maharashtra + 2 more",51 years old,501-1k Employees (India)
Borgwarner Emiss...,4.0,(144 Reviews),Private,"Auburn Hills,Michigan + 9 more",95 years old,501-1k Employees (India)
Navneet Educatio...,3.7,(144 Reviews),Public,"Mumbai,Maharashtra + 23 more",64 years old,501-1k Employees (India)
Colourtex,4.1,(144 Reviews),Private,"Surat,Gujrat + 7 more",56 years old,501-1k Employees (India)
RM Education Sol...,3.7,(144 Reviews),Private,Thiruvananthapuram + 3 more,20 years old,1k-5k Employees (India)
Emirates NBD,4.0,(144 Reviews),Public,"Dubai,Dubai + 8 more",60 years old,201-500 Employees (India)
Major Brands,3.9,(144 Reviews),Private,"Mumbai,Maharashtra + 13 more",22 years old,51-200 Employees (India)
Dixcy Textiles,4.2,(144 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 28 more",39 years old,1k-5k Employees (India)
Ameex Technologi...,3.9,(144 Reviews),Private,"Schaumburg,Illinois + 2 more",16 years old,501-1k Employees (India)
Exeltis,4.1,(144 Reviews),Private,Madrid + 23 more,20 years old,1k-5k Employees (India)
GKB RX Lens,4.2,(144 Reviews),Private,"Kolkata,West Bengal + 18 more",64 years old,1k-5k Employees (India)
Leayan Global,4.2,(144 Reviews),Private,"Kanpur,Uttar Pradesh + 29 more",18 years old,1k-5k Employees (India)
Protiviti,3.6,(144 Reviews),Private,Menlo Park + 11 more,21 years old,1k-5k Employees (India)
Government Hospi...,4.2,(144 Reviews),New Delhi + 66 more,,,
Ameex Technologi...,3.9,(144 Reviews),Private,"Schaumburg,Illinois + 2 more",16 years old,501-1k Employees (India)
Borgwarner Emiss...,4.0,(144 Reviews),Private,"Auburn Hills,Michigan + 9 more",95 years old,501-1k Employees (India)
Colourtex,4.1,(144 Reviews),Private,"Surat,Gujrat + 7 more",56 years old,501-1k Employees (India)
Navneet Educatio...,3.7,(144 Reviews),Public,"Mumbai,Maharashtra + 23 more",64 years old,501-1k Employees (India)
Electropneumatic...,3.8,(144 Reviews),Private,"Pune,Maharashtra + 2 more",51 years old,501-1k Employees (India)
Dixcy Textiles,4.2,(144 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 28 more",39 years old,1k-5k Employees (India)
SEABIRD LOGISOLU...,3.7,(144 Reviews),Public,"Mumbai,Maharashtra + 19 more",18 years old,51-200 Employees (India)
Accurate Enginee...,3.6,(144 Reviews),"Pune,Maharashtra + 18 more",60 years old,51-200 Employees (India),
NAV Backoffice,3.2,(143 Reviews),Private,Jaipur + 2 more,32 years old,1k-5k Employees (India)
COMSTAR AUTOMOTI...,3.8,(143 Reviews),Private,"Chengalpattu,Tamil Nadu + 3 more",24 years old,201-500 Employees (India)
Daffodil Softwar...,3.8,(143 Reviews),Private,"Grandville,MI + 4 more",24 years old,201-500 Employees (India)
National Aerospa...,4.5,(143 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 1 more",64 years old,1k-5k Employees (India)
Madhu Jayanti In...,3.9,(143 Reviews),Public,"Kolkata,West Bengal + 27 more",81 years old,201-500 Employees (India)
Bill Forge,3.9,(143 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 6 more",38 years old,201-500 Employees (India)
Franchise India ...,2.3,(143 Reviews),Public,"Faridabad,Haryana + 11 more",24 years old,501-1k Employees (India)
FCI CCM,4.5,(143 Reviews),"New York,New York + 5 more",64 years old,501-1k Employees (India),
Jaypee Hotels,3.8,(143 Reviews),Public,"Delhi/NCR,Delhi + 11 more",43 years old,501-1k Employees (India)
Azure Hospitalit...,4.5,(143 Reviews),Private,"Delhi,NCT + 8 more",14 years old,201-500 Employees (India)
Childline India ...,4.5,(143 Reviews),Private,New Delhi + 51 more,27 years old,51-200 Employees (India)
ETV Network,3.7,(143 Reviews),Private,"Hyderabad/Secunderabad,Telangana + 11 more",28 years old,5k-10k Employees (Global)
Al Fara'a Group,3.6,(143 Reviews),Private,"Al Ain,Abu Dhabi + 9 more",43 years old,201-500 Employees (India)
Medline Industri...,4.2,(143 Reviews),Private,"Northfield,Illinois + 2 more",57 years old,201-500 Employees (India)
KK Spun Pipes,3.1,(143 Reviews),Private,"Faridabad,Haryana + 13 more",46 years old,201-500 Employees (India)
Emerald Jewel In...,3.9,(143 Reviews),Public,"Coimbatore,Tamil Nadu + 7 more",39 years old,51-200 Employees (India)
L&T Infrastructu...,4.1,(143 Reviews),Chennai + 11 more,201-500 Employees (India),,
ILJIN AUTOMOTIVE,3.8,(143 Reviews),Seoul + 8 more,50 years old,,
Dr Mohan's Diabe...,4.1,(143 Reviews),Proprietorship,"Chennai,Tamil Nadu + 26 more",32 years old,1k-5k Employees (India)
MJ Biopharm,3.6,(143 Reviews),Private,"Mumbai,Maharashtra + 5 more",36 years old,201-500 Employees (India)
ExpertCallers,3.8,(143 Reviews),Bengaluru/Bangalore + 4 more,11-50 Employees (India),,
Technocon Servic...,3.3,(143 Reviews),Private,"Kolkata,West Bengal + 19 more",41 years old,51-200 Employees (India)
Apollo Diagnosti...,4.0,(143 Reviews),Private,Hyderabad + 33 more,8 years old,201-500 Employees (India)
KNR Construction...,4.1,(143 Reviews),Public,"Hyderabad/Secunderabad,Telangana + 27 more",28 years old,501-1k Employees (India)
HDFC Credila Fin...,4.0,(143 Reviews),Private,"Mumbai,Maharashtra + 21 more",17 years old,501-1k Employees (India)
Applus Velosi,4.0,(143 Reviews),Private,Abu Dhabi + 14 more,41 years old,501-1k Employees (India)
M & M Financial ...,4.3,(143 Reviews),Public,Mumbai + 52 more,32 years old,10k-50k Employees (India)
Porteck India In...,4.0,(143 Reviews),Private,"Jericho,New York + 3 more",21 years old,201-500 Employees (India)
Massive Restaura...,3.9,(143 Reviews),Private,"Gurgaon,Haryana + 12 more",11 years old,501-1k Employees (India)
Velnik India,3.2,(143 Reviews),Private,"Indore,Madhya Pradesh + 23 more",6 years old,1k-5k Employees (India)
4B Networks,2.5,(143 Reviews),"Mumbai,Maharashtra + 11 more",501-1k Employees (India),,
Vitesco Technolo...,4.3,(143 Reviews),Private,"Hannover,Lower Saxony + 3 more",18 years old,51-200 Employees (India)
LEAP India,3.6,(142 Reviews),Private,"Coimbatore,Tamil Nadu + 20 more",10 years old,51-200 Employees (India)
Vcare (India),4.1,(142 Reviews),Private,Chennai + 25 more,19 years old,501-1k Employees (Global)
Li & Fung,4.0,(142 Reviews),Private,Kowloon + 9 more,117 years old,501-1k Employees (India)
BLS Internationa...,3.4,(142 Reviews),Public,"Delhi/NCR,New Delhi + 34 more",40 years old,51-200 Employees (India)
Gap,3.8,(142 Reviews),Private,"Delhi/NCR,Delhi + 15 more",27 years old,1k-5k Employees (India)
TCS e-Serve Inte...,3.8,(142 Reviews),Private,Mumbai + 21 more,5k-10k Employees (India),
Fashion TV,4.2,(142 Reviews),Paris + 4 more,51-200 Employees (India),,
Geo Chem Laborat...,3.6,(142 Reviews),Private,"Mumbai,Maharashtra + 16 more",59 years old,1k-5k Employees (India)
Indian Council o...,3.9,(142 Reviews),Private,New Delhi + 37 more,94 years old,501-1k Employees (India)
Manipal Universi...,4.1,(142 Reviews),Private,"Manipal,Karnataka + 9 more",70 years old,1k-5k Employees (India)
RAKS Pharma,3.9,(142 Reviews),Private,"Visakhapatnam/Vizag,Andhra Pradesh + 5 more",15 years old,201-500 Employees (India)
Unilog Content S...,3.4,(142 Reviews),Private,"Wayne,Pennsylvania + 3 more",25 years old,201-500 Employees (India)
Precision Camsha...,3.0,(142 Reviews),Public,"Solapur,Maharashtra + 1 more",31 years old,201-500 Employees (India)
Patton Internati...,3.6,(142 Reviews),Private,"Kolkata,West Bengal + 2 more",33 years old,51-200 Employees (India)
Vishvaraj Infras...,4.2,(142 Reviews),Public,"Nagpur,Maharashtra + 25 more",24 years old,201-500 Employees (India)
Sun Direct TV,4.2,(142 Reviews),Private,"Chennai,Tamil Nadu + 35 more",16 years old,1k-5k Employees (India)
Solv,3.9,(142 Reviews),"Bangalore,Karnataka + 32 more",4 years old,201-500 Employees (India),
Adda 247,3.6,(142 Reviews),Private,"Gurgaon,Haryana + 11 more",7 years old,51-200 Employees (India)
Noida Power Comp...,4.3,(142 Reviews),Private,Greater Noida + 4 more,30 years old,1k-5k Employees (India)
Precision Camsha...,3.0,(142 Reviews),Public,"Solapur,Maharashtra + 1 more",31 years old,201-500 Employees (India)
Mytrah Energy,3.8,(142 Reviews),Private,"Hyderabad/Secunderabad,Telangana + 11 more",14 years old,201-500 Employees (India)
